Applicant ID,Application Date,First Name,Last Name,Gender,Date of Birth,Phone Number,Email,Address,City,State,Zip Code,Country,Education Level,Years of Experience,Desired Salary,Job Title,Status,Vacancy Type,source,Role Type,Department,Position,Recruiter
1012,2022-01-08,Kyle,Blake,Other,2001-03-25,001-527-907-9332x4819,shelia63@example.net,611 Thomas Dam Suite 296,East Melinda,OH,62970,China,Bachelor's Degree,7,79650.82,Corporate treasurer,Hires,Replacement,Naukri,High-Level,IT,Contract,Wendy Gibson
1013,2021-07-20,James,Bailey,Female,1983-05-12,(606)926-6770,fraziermichelle@example.net,4469 Holt Divide Suite 740,Hahnberg,AZ,61409,Guam,Master's Degree,12,86588.22,Accounting technician,Offered,Replacement,Company Website,High-Level,Finance,Contract,William Smith
1014,2022-02-03,Heidi,Wood,Male,1965-11-20,(209)368-2818x1932,brentswanson@example.org,527 Jamie Viaduct,Christopherberg,CT,34112,Central African Republic,Bachelor's Degree,9,59082.57,Learning disability nurse,Offered,Replacement,Social Media,Mid-Level,Finance,Contract,Keith Curtis
1016,2021-03-24,Olivia,Watson,Female,1970-08-09,-3839,rachel98@example.com,3578 Warren Prairie Suite 287,North Ariel,NV,37858,Belize,Master's Degree,2,44515.4,"Scientist, research (physical sciences)",Offered,New,Company Website,Mid-Level,Marketing,Contract,William Smith
1017,2023-07-09,Anita,Jenkins,Male,2004-01-02,409-660-9413,charles11@example.net,6505 Dawn Burg,Tonyville,DE,54454,Morocco,Master's Degree,20,72554.88,Higher education lecturer,In Review,Replacement,Walk-In,Mid-Level,IT,Part-Time,William Smith
1018,2020-09-04,John,Coleman,Female,2005-08-01,332.925.0075x0800,smithashley@example.org,5227 William Groves Apt. 165,South Andrewport,HI,22242,Poland,Bachelor's Degree,20,52923.21,"Merchandiser, retail",Offered,New,Referral,High-Level,Sales,Part-Time,Joseph Mendoza
1019,2023-02-01,Adam,Best,Other,2001-05-28,(592)449-4498,joe34@example.net,599 Mccoy Estate Apt. 522,Lake Christianshire,ME,84388,Ukraine,PhD,12,47680.62,"Buyer, retail",Hires,Replacement,Naukri,High-Level,Sales,Contract,Joseph Mendoza
1020,2023-06-25,Cheryl,Peterson,Male,1990-09-18,001-466-805-0058x769,corey49@example.net,331 James Springs,Gibbsburgh,MH,70864,Costa Rica,Bachelor's Degree,6,36560.41,Water quality scientist,In Review,Replacement,Social Media,High-Level,Marketing,Part-Time,Keith Curtis
1021,2022-08-19,Rebecca,Jensen,Female,2002-11-16,573-612-6886x9739,jennifer31@example.com,96558 Robert Crest Suite 109,Kathleenfurt,IA,44432,Central African Republic,Master's Degree,15,91333.9,"Optician, dispensing",Offered,New,Naukri,Operational,HR,Part-Time,Alexandra Hall
1022,2022-07-02,Gabriel,Norris,Female,1975-01-16,+1-336-343-6187x705,gibbsjacob@example.net,156 Brandy Mountain,Port Andrewmouth,NJ,15235,United Arab Emirates,Master's Degree,17,35317.87,"Scientist, marine",In Review,New,Company Website,Mid-Level,R&D,Part-Time,Alexandra Hall
1023,2020-08-26,Anne,Murphy,Other,1983-10-31,853-255-8266x26434,kristinross@example.net,8136 Theresa Avenue Suite 172,East Natalie,IN,99861,Kyrgyz Republic,PhD,11,66953.69,Armed forces technical officer,In Review,Replacement,Referral,Mid-Level,Sales,Full-Time,Joseph Mendoza
1024,2022-09-04,Thomas,Phillips,Other,1965-02-04,(305)772-2998x02932,melvinzimmerman@example.org,5254 Murray Parkway Suite 484,Farrellland,ID,19021,Belgium,PhD,10,52499.44,"Scientist, research (physical sciences)",Offered,Replacement,LinkedIn,Mid-Level,IT,Contract,Keith Curtis
1025,2020-09-20,Nicholas,Conley,Other,2001-10-10,600.967.3095,jameslucas@example.com,10514 Long Ports Apt. 727,Port Daniel,OR,83798,Micronesia,Master's Degree,15,44240.27,Herpetologist,In Review,Replacement,Social Media,High-Level,IT,Full-Time,Alexandra Hall
1026,2021-07-01,Jennifer,Austin,Other,2002-02-03,001-487-829-9532x746,prodriguez@example.com,1253 Monroe Rapid,North Benjaminfurt,AL,36583,Saint Kitts and Nevis,PhD,8,53070.82,"Production assistant, radio",Interviewing,Replacement,Social Media,High-Level,IT,Part-Time,Alexandra Hall
1028,2021-02-07,Barbara,Lopez,Other,1966-12-01,5067710681,lisalee@example.com,901 Erickson Burg,Port Christineborough,CA,76314,Iceland,PhD,19,57262.2,"Designer, television/film set",Offered,New,Walk-In,Operational,R&D,Contract,Joseph Mendoza
1029,2021-07-07,Maria,Campbell,Male,1969-12-06,(960)528-9287x86849,juliecarter@example.net,4028 Victoria Trace Suite 510,Camachostad,KY,44349,Macao,Master's Degree,9,98369.62,"Designer, jewellery",Rejected,Replacement,Indeed,Operational,Finance,Contract,Keith Curtis
1030,2022-10-04,Duane,Lee,Other,1989-10-22,001-266-415-6019x161,jgarrett@example.com,7528 Anderson Locks Suite 143,North Benjamin,NC,28070,Cape Verde,Bachelor's Degree,12,36106.12,Media buyer,In Review,Replacement,Company Website,Mid-Level,HR,Contract,Keith Curtis
1031,2020-12-08,Danny,Jones,Male,1993-08-14,001-259-866-8517x64198,mhenderson@example.com,4322 Joseph Ports Apt. 157,South Johnburgh,IN,44276,Comoros,PhD,17,61638.6,"Designer, textile",Offered,New,Indeed,Mid-Level,Finance,Full-Time,Alexandra Hall
1032,2021-11-01,Hannah,Moore,Other,1963-12-20,294.389.4316x75007,debra21@example.net,6417 Yoder Summit Apt. 056,Mayoside,DE,94533,Tunisia,Master's Degree,10,58593.41,Commercial horticulturist,In Review,New,Company Website,High-Level,Finance,Full-Time,Keith Curtis
1033,2023-05-14,Mckenzie,Howe,Male,2002-08-22,230.888.7183,debra17@example.net,9645 Washington Throughway,Chandlerton,AR,19797,Burkina Faso,Bachelor's Degree,13,80345.63,Food technologist,Offered,Replacement,Naukri,Operational,Finance,Contract,Keith Curtis
1034,2022-06-13,Ashley,Williams,Male,1976-03-30,+1-946-933-4961x681,pbarron@example.org,456 Martin Oval Apt. 117,Zavalabury,MN,16709,Bahrain,Bachelor's Degree,6,94817.47,Chartered accountant,Hires,Replacement,Naukri,Mid-Level,IT,Contract,Keith Curtis
1035,2023-02-03,Laura,Randall,Male,1970-09-08,5868557372,wallacemark@example.net,8884 Christopher Junctions,North Tammy,GU,98391,Anguilla,PhD,19,82854.39,"Optician, dispensing",Offered,Replacement,Agency,Mid-Level,R&D,Contract,Wendy Gibson
1036,2021-09-25,Katherine,Morris,Female,1979-01-26,(984)749-4059,matthewadams@example.net,90800 Michael Lodge,North Michael,DC,18588,Canada,High School,11,43831.75,"Surveyor, rural practice",Offered,New,Social Media,Mid-Level,Marketing,Full-Time,Keith Curtis
1037,2021-04-16,Martha,Bradford,Male,1980-09-12,(545)518-9685,kellysellers@example.net,1113 April Mountain Suite 431,Oliverhaven,NM,83371,Nauru,Bachelor's Degree,9,88074.11,Dance movement psychotherapist,Offered,New,Walk-In,Operational,Marketing,Part-Time,Alexandra Hall
1038,2022-04-04,Jessica,Martinez,Other,1971-09-04,9397058892,thomas12@example.org,699 Rodriguez Greens,Jamesville,ME,45059,United States Virgin Islands,PhD,16,49673.27,Event organiser,In Review,New,LinkedIn,High-Level,Sales,Contract,William Smith
1039,2022-05-29,Emily,Myers,Other,1993-09-13,+1-708-518-9313x498,jenniferreyes@example.org,814 Freeman Run,Lake Juan,IA,75775,Jordan,Bachelor's Degree,19,37991.23,"Psychologist, clinical",Interviewing,Replacement,Agency,Mid-Level,IT,Full-Time,William Smith
1041,2023-07-04,David,Walker,Female,1968-01-25,364.385.3544x351,jessicaaguirre@example.org,079 Jane Crossing,Port Rickyfort,WI,24323,Cape Verde,PhD,0,56440.24,Health service manager,Offered,Replacement,Walk-In,Operational,IT,Contract,Keith Curtis
1042,2020-11-11,Timothy,Rodriguez,Female,1988-06-30,524.599.9460x10219,gloriacruz@example.com,19205 Burke Ports Suite 746,Whitebury,OK,35524,Niger,PhD,14,65868.72,Clinical cytogeneticist,Interviewing,Replacement,Agency,Operational,IT,Part-Time,Alexandra Hall
1043,2022-03-12,Kevin,Lucas,Female,1973-12-25,(846)687-4365,robertthompson@example.com,4589 Brittany Grove Suite 096,Gomeztown,MH,21310,Antarctica (the territory South of 60 deg S),PhD,8,77256.91,Sports administrator,Rejected,Replacement,LinkedIn,Operational,R&D,Full-Time,Wendy Gibson
1044,2021-08-15,Sarah,Fischer,Other,1993-11-20,(859)447-7321,wjackson@example.com,9332 Kelley Mission,Donshire,PW,66350,Hong Kong,PhD,5,52012.21,"Therapist, nutritional",Rejected,New,Walk-In,Mid-Level,HR,Full-Time,Wendy Gibson
1045,2022-02-01,Joshua,Weeks,Other,1994-05-27,699-982-2807x65316,telliott@example.org,61766 David Skyway Suite 232,Gonzaleschester,PR,44532,Luxembourg,High School,19,87903.51,Barrister's clerk,Hires,Replacement,Walk-In,Operational,Marketing,Contract,Alexandra Hall
1046,2022-04-05,Nicholas,Jenkins,Female,1965-12-24,(225)352-3015x07397,lsmith@example.org,338 Evans Coves Suite 568,New Kenneth,MS,93369,Afghanistan,Bachelor's Degree,8,79162.92,"Sound technician, broadcasting/film/video",Hires,New,Referral,High-Level,HR,Full-Time,Alexandra Hall
1047,2021-10-31,Jeremy,Stevens,Female,1994-08-23,8216018948,taylormason@example.com,908 Vasquez Knolls,Kathleenview,AK,15637,Holy See (Vatican City State),High School,14,99015.22,Therapeutic radiographer,Offered,Replacement,Company Website,High-Level,HR,Part-Time,William Smith
1048,2022-08-13,Paul,Johnson,Male,1986-07-31,+1-352-506-4850x497,ppowell@example.org,508 Freeman Creek,Freemanbury,ND,53823,Monaco,PhD,7,50437.39,"Engineer, electronics",In Review,New,Referral,High-Level,Marketing,Contract,Joseph Mendoza
1049,2022-02-08,Jerry,Hernandez,Other,1976-04-07,698-300-1600x23221,upeters@example.com,83202 Ingram Fields,Campbelltown,ME,45037,Marshall Islands,Master's Degree,4,86589.55,"Scientist, research (medical)",Interviewing,New,Walk-In,High-Level,Finance,Contract,Keith Curtis
1050,2020-08-27,Jason,Abbott,Male,1967-04-30,001-460-617-6814x7252,elizabethtaylor@example.net,1058 Mark Highway,Lake Maryland,NM,41461,Faroe Islands,High School,10,94813.46,"Surveyor, land/geomatics",Hires,New,Agency,Operational,Marketing,Part-Time,Joseph Mendoza
1051,2022-07-07,Jeffrey,Sellers,Other,1980-09-30,237.531.7564x007,natasha30@example.net,205 Rice Track,Mcbridestad,GU,59610,Bouvet Island (Bouvetoya),High School,10,68968.39,"Surveyor, hydrographic",In Review,New,LinkedIn,Mid-Level,Finance,Full-Time,Joseph Mendoza
1052,2021-09-25,Daryl,Brown,Female,2003-07-08,(833)626-3286,bhill@example.com,05460 Laura Ford Apt. 015,Phillipstown,TN,61327,Niue,Bachelor's Degree,7,94839.96,Land/geomatics surveyor,Offered,Replacement,Agency,Mid-Level,Finance,Full-Time,Wendy Gibson
1053,2021-03-11,Justin,Bush,Other,1975-09-26,356.930.7796,pricecarolyn@example.org,392 Daniel Parkways Suite 034,Jessicaview,WI,32426,San Marino,PhD,4,30451.54,Data processing manager,In Review,New,Walk-In,High-Level,Finance,Contract,Wendy Gibson
1054,2021-03-19,Lisa,Jackson,Male,1986-12-31,+1-425-444-8670x07900,michaelcooper@example.net,80259 Dixon Prairie,Lake Robertberg,AZ,42440,Cuba,PhD,18,89697.68,Paediatric nurse,Interviewing,New,Social Media,Operational,IT,Contract,Alexandra Hall
1055,2021-11-27,Brad,Vang,Male,1990-01-07,707-602-9095,william40@example.net,7189 Timothy Corner Apt. 711,South Justin,GU,69265,Colombia,PhD,6,36962.77,Chief of Staff,In Review,Replacement,Referral,Mid-Level,Marketing,Full-Time,Joseph Mendoza
1057,2021-09-01,Kimberly,Ellis,Female,1982-10-03,(295)752-6970,barrerakathleen@example.com,321 Turner Mews,North Johnland,FM,59371,Western Sahara,Master's Degree,13,87952.33,Armed forces operational officer,Offered,New,Indeed,Mid-Level,HR,Full-Time,William Smith
1058,2022-04-17,Stephanie,Pearson,Other,1974-03-01,(992)890-3863x06405,williamschneider@example.org,01914 Sweeney Gateway Suite 775,North Stephen,WA,81142,Pakistan,PhD,7,94509.27,Learning mentor,Hires,New,Social Media,Operational,Marketing,Full-Time,Keith Curtis
1059,2023-05-18,Judith,Avery,Male,1971-05-01,355.753.7118,vkelly@example.org,538 Schwartz Isle Suite 665,Kennethchester,NE,91284,Malaysia,PhD,8,67090.18,Press photographer,Offered,New,Referral,Mid-Level,IT,Part-Time,Joseph Mendoza
1060,2023-08-02,Susan,Mayer,Female,1987-12-08,001-867-245-0401x073,zmoore@example.com,1772 Adams Forges Suite 868,Staceyton,RI,52441,Palau,Master's Degree,14,33552.59,"Journalist, magazine",Rejected,Replacement,Referral,Operational,R&D,Part-Time,Wendy Gibson
1061,2022-03-23,Danielle,Jones,Female,1995-07-28,840.994.7602x3387,justinflores@example.net,18917 Adams Stravenue Suite 510,Johnsonmouth,WV,55005,Palau,Bachelor's Degree,14,35323.64,"Geneticist, molecular",Offered,Replacement,Naukri,Mid-Level,Finance,Part-Time,Joseph Mendoza
1062,2021-06-10,Brian,Jenkins,Female,1994-09-26,575.503.5502,scottgriffin@example.net,0516 Norris Pine,New Julieville,TN,30491,Greece,Master's Degree,14,82806.6,"Accountant, chartered management",Hires,New,Agency,High-Level,HR,Contract,Alexandra Hall
1063,2023-03-02,Keith,Barrera,Female,2004-05-03,(679)765-0104x4925,scottkerr@example.org,62145 Collier Wells,Jasmineside,NE,99061,French Guiana,Master's Degree,0,40113.74,Insurance broker,Interviewing,New,Social Media,Mid-Level,Finance,Full-Time,William Smith
1064,2023-04-23,Gary,Howard,Female,1999-10-25,001-851-640-7485,ehernandez@example.com,9683 Houston Alley,Lake Bobbytown,GU,92712,Egypt,Bachelor's Degree,14,63245.8,Sports therapist,Interviewing,Replacement,Walk-In,High-Level,Sales,Part-Time,William Smith
1065,2021-08-17,David,Torres,Female,1978-11-22,+1-497-327-6445x750,rmiller@example.com,1557 Moore Mountains Apt. 077,Millertown,AK,62665,French Guiana,PhD,14,95411.82,"Research officer, government",Offered,Replacement,Walk-In,High-Level,IT,Part-Time,Joseph Mendoza
1066,2022-03-23,Phillip,Weber,Other,1974-04-12,967-772-9630x71707,bryankey@example.com,743 Joseph Lakes Apt. 318,Francisburgh,PW,44194,Uzbekistan,Master's Degree,20,58671.8,"Engineer, control and instrumentation",In Review,Replacement,Walk-In,High-Level,Sales,Full-Time,Keith Curtis
1067,2021-05-03,Tiffany,Fernandez,Female,1967-09-30,001-294-200-8198x1467,iwoods@example.net,143 Sharp Walk Suite 116,Crystaltown,CT,61789,Liberia,High School,18,36020.54,Tree surgeon,Offered,Replacement,Agency,High-Level,Sales,Contract,Joseph Mendoza
1068,2023-06-01,Nicole,Lopez,Female,1983-11-05,738.330.1911,rachelgibson@example.com,00495 Tony Tunnel Suite 998,West Steven,PA,23700,Argentina,High School,20,33092.62,Heritage manager,Hires,Replacement,Agency,Operational,IT,Contract,William Smith
1070,2021-06-25,Danielle,Smith,Male,1975-09-13,(489)457-0950,mccarthymichelle@example.net,733 Barrett Isle Apt. 972,West Audreyburgh,GA,82437,Paraguay,High School,6,95676.14,Exhibition designer,Interviewing,New,Referral,Mid-Level,Finance,Part-Time,Alexandra Hall
1071,2023-01-10,Christopher,Davis,Female,2003-07-10,001-326-498-5989x16380,ajohnson@example.com,7385 Potter Knolls,Jesseview,ND,97049,Kenya,Master's Degree,13,54109.46,Waste management officer,Interviewing,New,Referral,High-Level,R&D,Full-Time,Joseph Mendoza
1072,2022-04-17,Jessica,Gutierrez,Male,1982-07-12,(409)790-6519,kristinalee@example.org,828 Watkins Landing Suite 952,South Ashlee,CA,89009,United Arab Emirates,High School,5,88944.93,Publishing rights manager,Offered,Replacement,LinkedIn,Mid-Level,IT,Contract,Joseph Mendoza
1073,2023-02-18,Michael,Hunter,Male,1977-09-30,(270)659-9314,reginald33@example.net,28037 Thomas Points,Johnmouth,OH,88615,Mauritania,Master's Degree,17,54055.25,Oncologist,Rejected,Replacement,Walk-In,Operational,Finance,Contract,William Smith
1074,2022-09-07,Kendra,French,Male,2003-04-22,714.491.1762,garrett11@example.org,272 Wise Trail Suite 983,Lake Scott,NH,29705,Pakistan,PhD,4,54756.63,Structural engineer,Rejected,New,Company Website,High-Level,HR,Full-Time,Joseph Mendoza
1075,2023-01-26,William,Yu,Female,1994-09-26,530.890.1950,enewton@example.net,547 Barnes Lake,Rodriguezmouth,DC,64425,Cyprus,Bachelor's Degree,18,57232.37,"Production assistant, television",In Review,New,Company Website,Mid-Level,Marketing,Full-Time,William Smith
1076,2022-05-25,Carol,Steele,Female,1973-06-17,302.431.7018x403,fbrown@example.com,7282 John Shore,Port Daltonfurt,VI,23353,Cambodia,PhD,1,90276.12,"Surveyor, planning and development",Rejected,Replacement,LinkedIn,Operational,IT,Full-Time,William Smith
1077,2021-11-30,Maria,Davidson,Female,1963-02-08,811-559-3449x539,billy13@example.net,1909 Strong Club Suite 173,Victorialand,MP,63150,China,High School,18,89892.0,Petroleum engineer,Rejected,Replacement,Company Website,Operational,Sales,Part-Time,Joseph Mendoza
1078,2022-02-13,Nicole,Garcia,Other,1966-01-23,+1-638-947-8496x65914,vincentdunn@example.net,5943 Kelly Drive,South Matthew,OK,33987,Hungary,PhD,20,65575.02,Academic librarian,Interviewing,Replacement,Indeed,High-Level,HR,Part-Time,William Smith
1079,2020-09-18,James,Howell,Female,1992-06-20,3625137321,alecrandall@example.org,54234 Blevins Stream,West Phillipborough,AL,90671,Botswana,Bachelor's Degree,2,92135.46,Arts development officer,Hires,Replacement,Company Website,High-Level,Finance,Full-Time,William Smith
1080,2022-09-24,Keith,Pace,Male,1980-12-05,524.590.8180x24630,jessica90@example.com,5014 Cannon Oval,Port Sabrinamouth,MP,28027,Niue,Bachelor's Degree,18,37453.4,"Development worker, community",In Review,Replacement,Company Website,Operational,HR,Contract,Keith Curtis
1082,2020-12-22,Denise,Jackson,Male,1999-11-26,(674)278-2155x085,shannonhughes@example.net,0131 Gregory Corners Apt. 815,North Williamland,MN,1192,Niue,PhD,5,46331.6,Secondary school teacher,Rejected,New,Agency,High-Level,IT,Full-Time,Alexandra Hall
1083,2021-08-12,Christine,Phillips,Male,1983-09-03,713-469-1059x479,jasmine35@example.net,41501 Wagner Parks Apt. 574,Sanchezbury,SC,34840,San Marino,High School,3,68558.44,Financial controller,Offered,New,Social Media,Mid-Level,R&D,Part-Time,Alexandra Hall
1084,2022-10-11,Patricia,Pearson,Other,1970-06-12,993.765.3738x529,burnsrobert@example.org,8328 Sandoval Canyon,Scottville,DE,96287,China,Bachelor's Degree,4,56332.62,Brewing technologist,Offered,Replacement,Social Media,Mid-Level,Marketing,Full-Time,Keith Curtis
1085,2023-03-15,Cynthia,Black,Other,1986-02-25,310-288-9663x946,ghenderson@example.com,962 Callahan Trafficway,Port Abigail,CA,19190,Estonia,High School,17,71506.9,Chartered legal executive (England and Wales),Rejected,Replacement,Referral,Mid-Level,R&D,Contract,Alexandra Hall
1086,2022-10-02,Brenda,Foster,Other,1989-07-23,996.678.2244x36399,lgomez@example.org,33076 Jennifer Rapid,Scottview,SD,64383,Ethiopia,High School,7,97605.13,Optometrist,Interviewing,Replacement,Indeed,Mid-Level,HR,Part-Time,William Smith
1087,2021-07-28,Holly,Brandt,Female,1965-01-18,001-292-782-6050x146,donald58@example.com,60255 Dodson Mills,East Victoria,ID,85507,Yemen,PhD,12,74372.98,"Engineer, site",Hires,New,LinkedIn,Mid-Level,IT,Part-Time,Alexandra Hall
1088,2022-06-28,Erin,Kirk,Female,1974-06-26,323-678-0221x29319,rcook@example.com,311 Palmer Fords Apt. 610,North Jenniferfurt,PW,63501,Ukraine,PhD,4,94408.04,Barista,Interviewing,Replacement,Agency,Mid-Level,IT,Full-Time,Alexandra Hall
1089,2023-02-23,Kevin,Owens,Male,1985-10-28,+1-497-233-2142x539,smiller@example.com,1761 Sandoval Meadow,Hernandezhaven,ME,90449,Bolivia,Bachelor's Degree,10,82596.57,Patent attorney,Offered,Replacement,Referral,High-Level,R&D,Part-Time,Joseph Mendoza
1090,2021-05-07,Sarah,Glover,Female,1978-10-25,-4687,smithpamela@example.org,216 Hall Skyway,Brookeshire,SC,89827,Canada,PhD,18,51290.15,"Designer, jewellery",Hires,Replacement,LinkedIn,Mid-Level,HR,Part-Time,Keith Curtis
1092,2022-01-15,Julia,Green,Male,1986-08-30,(615)447-9353,yortega@example.net,130 Ashley Station,Andersonmouth,AS,81868,Turkmenistan,Bachelor's Degree,17,51993.14,"Nurse, mental health",Offered,Replacement,Company Website,Mid-Level,HR,Full-Time,Joseph Mendoza
1093,2021-07-24,Michael,Smith,Female,2001-09-28,445.585.0943x3018,wmcdonald@example.com,1404 Maria Freeway,North Samuel,MP,54602,Georgia,High School,11,67885.98,"Doctor, general practice",Hires,New,LinkedIn,Operational,Finance,Part-Time,William Smith
1095,2023-05-19,Michele,Williams,Male,1963-08-13,979.704.5426x88257,ucarter@example.net,7956 Jennifer Estates Suite 712,Medinachester,IL,79904,Zimbabwe,High School,3,38348.79,Radio broadcast assistant,Interviewing,Replacement,Walk-In,High-Level,Marketing,Full-Time,Joseph Mendoza
1096,2021-03-05,Steven,Martinez,Other,1993-11-21,-7869,lmcmahon@example.org,45106 Lopez Walk,Kennethberg,MP,77423,Wallis and Futuna,High School,20,36060.91,Technical sales engineer,Hires,Replacement,Naukri,High-Level,Marketing,Contract,Keith Curtis
1097,2023-02-06,Austin,Johnson,Male,2000-02-06,621.908.5961x894,chughes@example.com,970 Greg Corners,West Hannah,MP,91766,Cote d'Ivoire,PhD,16,59939.36,Glass blower/designer,In Review,Replacement,Indeed,Mid-Level,R&D,Contract,Joseph Mendoza
1098,2022-05-21,Robert,Bowman,Female,1962-12-18,697.703.9180,gina02@example.net,58649 Antonio Groves,Seanville,CT,4679,Hong Kong,High School,12,74228.18,Marine scientist,In Review,Replacement,Social Media,Operational,R&D,Contract,Joseph Mendoza
1099,2023-05-07,Alexander,Pineda,Male,2004-01-19,+1-490-878-2240x7371,colecynthia@example.net,995 Daniel Lake,Brandonbury,VI,92853,Mexico,PhD,17,52215.48,Hospital pharmacist,Interviewing,Replacement,Agency,Mid-Level,Finance,Contract,Alexandra Hall
1100,2021-05-28,Kathleen,Jones,Female,1970-01-16,986.836.8379,lsmith@example.org,6948 Timothy Manors,Williamshaven,ME,23842,Haiti,Bachelor's Degree,16,51927.82,Race relations officer,Rejected,New,Indeed,High-Level,Sales,Part-Time,Keith Curtis
1101,2021-03-13,Sandra,Wang,Male,1977-09-13,-4528,matthew54@example.net,81160 Carrie Plaza Suite 570,North Stevenburgh,MD,38632,Iceland,PhD,18,66506.02,Counselling psychologist,In Review,Replacement,Referral,High-Level,Marketing,Full-Time,Joseph Mendoza
1102,2023-05-31,Kristen,Foster,Female,1975-03-13,(339)544-8726x201,rmartinez@example.org,29152 Riley Branch,Wardport,NY,28266,Sweden,PhD,7,73093.48,Best boy,Hires,New,LinkedIn,High-Level,R&D,Full-Time,Wendy Gibson
1103,2021-01-11,Darrell,Fernandez,Female,1987-12-23,7333464358,erika63@example.org,0338 Lewis Land,Riversmouth,ND,37207,Ukraine,PhD,3,57972.41,Town planner,Interviewing,Replacement,Naukri,Operational,R&D,Part-Time,Joseph Mendoza
1104,2022-07-23,Kimberly,Castro,Female,1997-12-08,706.538.2155,yhoward@example.com,702 Barnes Square,South Jeffrey,CT,92427,Norway,Master's Degree,6,89275.77,"Psychologist, clinical",Hires,Replacement,Walk-In,High-Level,Sales,Part-Time,Alexandra Hall
1105,2020-10-19,Sheryl,Hampton,Other,1982-09-26,951.764.3909,irogers@example.com,7345 Larson Road Suite 100,Leblancmouth,RI,47736,Slovenia,PhD,4,69991.75,Chief of Staff,Offered,Replacement,Social Media,Operational,Marketing,Contract,Joseph Mendoza
1106,2021-02-16,Earl,Houston,Other,1979-09-16,569-796-7520,nicole88@example.org,3974 Tristan Mall Suite 007,New Steventown,OH,15396,Cameroon,Master's Degree,13,56700.48,Tourism officer,Interviewing,Replacement,Indeed,Operational,HR,Full-Time,Wendy Gibson
1107,2022-01-23,Michael,Andrews,Other,1994-05-31,+1-619-602-2000x765,andrewsalazar@example.com,545 Jennifer Expressway,Lake Laurieborough,MH,9965,Peru,PhD,13,64947.3,Podiatrist,In Review,New,Social Media,Mid-Level,Finance,Part-Time,Wendy Gibson
1108,2022-01-27,Amanda,Monroe,Male,2003-02-09,(885)667-1316x893,schmidtrodney@example.org,386 Hoover Lodge Apt. 226,New Christopher,ID,796,Croatia,Master's Degree,13,75152.02,Actuary,Rejected,New,Referral,High-Level,Sales,Contract,Keith Curtis
